연번,구분,교재명,단원 연번,단원명,주요 어휘,관련 페이지
39,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,사물놀이,89
40,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,삽살개,94
41,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,성묘,37
42,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,소고,87
43,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,소리꾼,77
44,한국문화,세종한국문화1,3과,한국의 정신이 깃든 곳으로 떠나요,송편,50
45,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,순대,20
46,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,쌍화차,116
47,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,어묵,20
,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,이순신 장군,28
48,한국문화,세종한국문화1,4과,역사의 현장에서 한국의 인물을 만나요,이순신 장군,"57, 62"
49,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,장구,87
50,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,장승,108
51,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,전주 한옥 마을,72
52,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,조각보,93
53,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,진돗개," 86, 94"
54,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,징,87
55,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,차례,37
56,한국문화,세종한국문화1,3과,한국의 정신이 깃든 곳으로 떠나요,첨성대,48
57,한국문화,세종한국문화1,3과,한국의 정신이 깃든 곳으로 떠나요,크리스마스,53
58,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,탈춤,118
59,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,태권도," 70, 74"
,한국문화,세종한국문화1,4과,역사의 현장에서 한국의 인물을 만나요,태극기,"56, 64"
60,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,태극기,109
61,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,태평소,87
62,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,택견,118
63,한국문화,세종한국문화1,3과,한국의 정신이 깃든 곳으로 떠나요,템플 스테이,45
,한국문화,세종한국문화1,5과,한국어 맛과 멋을 즐겨요,판소리,"72, 78"
64,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,판소리,118
65,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,팥빙수,20
66,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,품새,75
67,한국문화,세종한국문화1,6과,춤추고 노래하며 한국의 전통을 느껴 봐요,풍물놀이,87
68,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,한라봉,101
,한국문화,세종한국문화1,2과,한국의 역사 속으로 들어가 봐요,한복,30
69,한국문화,세종한국문화1,5과,한국의 맛과 멋을 즐겨요,한복,"72, 76"
70,한국문화,세종한국문화1,8과,한국 고유의 매력에 빠져 봐요,해녀," 112, 118"
71,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,해치,108
72,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,호떡,20
73,한국문화,세종한국문화1,1과,한국인의 일상을 들여다봐요,휴게소,19
74,한국문화,세종한국문화1,7과,한국의 자연 속으로 떠나요,흔들바위,105
285,한국문화,세종한국문화1,4과,역사의 현장에서 한국의 인물을 만나요,3·1 운동," 56, 64"
