grade,headword,homograph,pos,guide,band
1,바지,0,명사,바지를 입다,초급
1,박물관,0,명사,박물관을 관람하다,초급
1,밖,0,명사,안과 밖,초급
1,반,1,명사,절반,초급
1,반,2,명사,우리 반,초급
1,반갑다,0,형용사,반가운 손님,초급
1,받다,1,동사,선물을 받다,초급
1,발,1,명사,발로 차다,초급
1,밤,1,명사,밤이 깊다,초급
1,밥,0,명사,밥을 짓다,초급
1,방,1,명사,방을 청소하다,초급
1,방학,0,명사,겨울 방학,초급
1,배,1,명사,배가 고프다,초급
1,배,2,명사,배를 타다,초급
1,배,3,명사,배를 먹다,초급
1,배우,0,명사,뮤지컬 배우,초급
1,배우다,0,동사,말을 배우다,초급
1,백02∙백,1,수사∙관형사,숫자,초급
1,백만02∙백만,1,수사∙관형사,숫자,초급
1,백화점,0,명사,백화점 판매,초급
1,버스,0,명사,버스를 타다,초급
1,번,0,의존명사,첫째 번,초급
1,번호,0,명사,여권 번호,초급
1,베트남,0,명사,나라,초급
1,별로,1,부사,별로 없다,초급
1,병,1,명사,병에 걸리다,초급
1,병,2,명사,병에 담다,초급
1,병원,0,명사,병원에 가다,초급
1,보내다,0,동사,편지를 보내다,초급
1,보다,1,동사,밖을 보다,초급
1,보다,4,부사,보다 높게,초급
1,보통,1,부사,보통 사람,초급
1,보통,2,명사,보통 사람,초급
1,볼펜,0,명사,빨간색 볼펜,초급
1,봄,0,명사,계절,초급
1,부르다,1,동사,친구를 부르다,초급
1,부모님,0,명사,부모님께 효도하다,초급
1,부산,2,명사,지명,초급
1,부엌,0,명사,집,초급
1,부탁,0,명사,부탁을 드리다,초급
1,분,1,의존명사,아는 분,초급
1,분,2,의존명사,60분,초급
1,불,1,명사,불에 태우다,초급
1,불고기,0,명사,음식,초급
1,불다,0,동사,바람이 불다,초급
1,비,1,명사,비가 오다,초급
1,비빔밥,0,명사,음식,초급
1,비싸다,0,형용사,비싼 물건,초급
1,비행기,0,명사,비행기를 타다,초급
1,빌리다,0,동사,돈을 빌리다,초급
1,빠르다,0,형용사,걸음이 빠르다,초급
1,빨리,0,부사,빨리 걷다,초급
1,빵,1,명사,빵을 먹다,초급
1,사,1,수사,숫자,초급
1,사,2,관형사,숫자,초급
1,사과,1,명사,과일,초급
1,사귀다,0,동사,친구를 사귀다,초급
1,사다,0,동사,물건을 사다,초급
1,사람,0,명사,사람과 동물,초급
1,사랑,1,명사,사랑에 빠지다,초급
1,사무실,0,명사,사무실에 출근하다,초급
1,사십,1,수사,숫자,초급
1,사십,2,관형사,숫자,초급
1,사용,0,명사,사용 방법,초급
1,사월,0,명사,달,초급
1,사이,0,명사,사이에 끼다,초급
1,사이다,0,명사,사이다를 마시다,초급
1,사전,2,명사,사전을 찾다,초급
1,사진,0,명사,졸업 사진,초급
1,산,1,명사,산에 오르다,초급
1,산책,0,명사,공원 산책,초급
1,살,3,의존명사,세 살,초급
1,살다,0,동사,오래 살다,초급
1,삼,1,수사,삼 년,초급
1,삼,2,관형사,삼 년,초급
1,삼계탕,0,명사,음식,초급
1,삼십,1,수사,숫자,초급
1,삼십,2,관형사,숫자,초급
1,삼월,0,명사,달,초급
1,생각,0,명사,기억,초급
1,생신,0,명사,생일,초급
1,생일,0,명사,생일 파티,초급
1,생활,0,명사,직장 생활,초급
1,샤워,0,명사,찬물 샤워,초급
1,서른02·서른,1,수사·관형사,숫자,초급
1,서울,0,명사,지명,초급
1,서점,0,명사,대형 서점,초급
1,선물,0,명사,선물을 받다,초급
1,선생님,0,명사,국어 선생님,초급
1,설명,0,명사,설명을 듣다,초급
1,세,1,관형사,숫자,초급
1,세수,1,명사,고양이 세수,초급
1,셋,0,수사,숫자,초급
1,소개,0,명사,직업 소개,초급
1,소금,0,명사,소금이 짜다,초급
1,손,1,명사,손과 발,초급
1,손님,0,명사,손님을 받다,초급
1,쇼핑,0,명사,쇼핑을 가다,초급
1,수박,0,명사,수박을 먹다,초급
1,수업,2,명사,수업을 받다,초급
1,수영,0,명사,수영 선수,초급
1,수영장,0,명사,수영장에 다니다,초급
1,수요일,0,명사,요일,초급
1,수첩,0,명사,수첩에 기록하다,초급
1,숙제,0,명사,숙제 검사,초급
1,술,1,명사,술에 취하다,초급
1,쉬다,3,동사,푹 쉬다,초급
1,쉽다,0,형용사,문제가 쉽다,초급
1,슈퍼마켓,0,명사,대형 슈퍼마켓,초급
1,스물,0,수사,숫자,초급
